i_id,商品名称,类目,品牌,商品状态,SKU数,主图URL,成本价(最低),成本价(最高),售价,库存总量,规格属性(首个SKU),颜色(从规格提取),重量(kg),长(cm),宽(cm),高(cm),体积,供应商,标签,关联店铺,缺失字段,缺失字段数,完整度评分,Agent可用等级,审核状态,质量警告,最后更新时间
YH27K01,1号尿布台,尿布台,,未知,5,https://img.alicdn.com/bao/uploaded/i4/2200785690837/O1CN01MrNXFl1I3OKhRwSkQ_!!2200785690837.jpg,328.8,422.9,,0,组合1;玉莲白,玉莲白,"21.58, 21.93, 22.97, 23.2, 23.82","104, 104, 108, 108, 108","34, 34, 39, 39, 39","63, 63, 63, 63, 63",,,"大件产品, 批发下架, 桥下仓库",,material,1,100,L3,高可用待确认,商品状态未知,2026-02-04 18:03:27.150
YH28K01,奶油购物车,手推车,,未知,1,https://img.pddpic.com/mms-material-img/2024-07-05/986770d4-9705-4f19-9b93-fc7c51bdd752.png,73.1,73.1,,,组合1;丁香棕,丁香棕,4.1,52.5,38,34.5,,,"大件产品, 桥下仓库",,"stock, material",2,95,L3,高可用待确认,库存缺失 | 商品状态未知,2026-01-30 16:08:29.870
YH28K02,摇篮购物车,手推车,,未知,1,https://img.pddpic.com/mms-material-img/2024-07-05/bdb9946a-f6ce-4e49-b6ef-c28d722b991f.png,97.2,97.2,,14,组合1;玉莲白,玉莲白,5.6,58,43,52,,,"大件产品, 桥下仓库",,material,1,100,L3,高可用待确认,商品状态未知,2026-01-30 16:08:41.327
YH28K03,小团团收纳车,成品类 - YH28玩具收纳车类,,未知,1,https://img.pddpic.com/mms-material-img/2024-07-06/24abcc7d-7c7f-4b25-a0c8-95e2426300f1.png,58,58,,200,组合1;茉莉白,茉莉白,3.42,54,12,46,,,"大件产品, 桥下仓库",,material,1,100,L3,高可用待确认,商品状态未知,2026-01-30 16:08:22.060
YH28K04,波波羊收纳车,成品类 - YH28玩具收纳车类,,未知,1,https://img.pddpic.com/mms-material-img/2023-08-02/d40446d7-5510-42ee-9429-6e67c5b354fe.jpeg.a.jpeg,70.3,70.3,,,组合1;茉莉白,茉莉白,3.7,54,12,46,,,"大件产品, 桥下仓库",,"stock, material",2,95,L3,高可用待确认,库存缺失 | 商品状态未知,2026-01-30 16:07:46.690
YH28K05,四号蛋糕收纳车,成品类 - YH28玩具收纳车类,英禾,未知,1,https://images-erp.sursung.com/prod/erp/ItemSku/11871454/20250929/85F472C6C2214FC89CEA34B87EECDBC9.png?name=cff0c743-5ef8-4d30-b7ab-809418796ea3,68.3,68.3,,90,组合1；茉莉白,,,47,14.5,53.5,,,"大件产品, 桥下仓库",,"material, weight, color",3,95,L3,高可用待确认,商品状态未知,2025-11-07 11:15:30.123
YH29K01,1号奶嘴,成品类 - YH29奶嘴类,,未知,4,https://img.alicdn.com/bao/uploaded/i2/2117148218/O1CN01vxP9vj2AZtiGY2wVG_!!2117148218.jpg,4,8.3,,0,组合1;日用款 葫芦收纳盒*1  防掉链*1,"夜用款 葫芦收纳盒*1  防掉链*1, 小熊收纳盒款*1 日用*1 夜用*1  防掉链*2, 日用款 葫芦收纳盒*1  防掉链*1, 葫芦收纳盒*2 日用*1夜用*1  防掉链*2","0.05, 0.05, 0.09, 0.08","6, 6, 7, 6","6, 6, 4.1, 6","13.5, 13.5, 11.5, 17",,,"台州仓库, 小件产品, 数据丢失",,material,1,100,L3,高可用待确认,商品状态未知,2026-01-30 16:07:03.893
YH30K01,恐龙温度计,成品类 - YH30水温计,,未知,2,https://images-erp.sursung.com/erp/prod/11871454/1686876259798.jpg?name=黄.jpg,7,7,,0,组合1;玉莲白,"玉莲白, 琥珀黄","0.06, 0.06","19, 19","13, 13","206, 2.6",,台州完美宝贝婴童用品有限公司,台州仓库,,material,1,100,L3,高可用待确认,商品状态未知,2025-11-18 08:58:23.983
YH30K02,胖胖龙水温计,成品类 - YH30水温计,,未知,3,https://images-erp.sursung.com/erp/prod/11871454/1693447375909.png?name=e5d9fe74-48f4-4fda-b7f6-781b52a38d1c.png,16.7,16.7,,0,组合1;丹霞橙,"丹霞橙, 橄榄绿, 茉莉白","0.104, 0.13, 0.13","9.8, 9.8, 9.8","9.3, 9.3, 9.3","9.8, 9.8, 9.8",,台州完美宝贝婴童用品有限公司,"台州仓库, 小件产品, 批发下架",,material,1,100,L3,高可用待确认,商品状态未知,2026-01-30 16:07:27.550
YH30K03,独角兽水温计,成品类 - YH30水温计,,未知,2,https://images-erp.sursung.com/erp/prod/11871454/1693447559822.png?name=a7921747-f699-4679-b9da-0a7a0ecb7e06.png,6.8,6.8,,0,组合1;琥珀黄,"琥珀黄, 轩雅紫","0.8, 0.8","19.1, 19.1","13.1, 13.1","4.2, 4.2",,台州完美宝贝婴童用品有限公司,"台州仓库, 小件产品",,material,1,100,L3,高可用待确认,商品状态未知,2025-11-20 14:30:47.170
YH31K01,尿布台收纳盒,成品类 - YH31收纳盒,,未知,5,https://img.alicdn.com/bao/uploaded/i4/2200785690837/O1CN01Y615sq1I3OMQUHEwY_!!2200785690837.jpg,,,,0,茉莉白；组合1,米白色,"0.43, 0.8","22, 28.5","17.5, 22","16.5, 17.5",,,"小件产品, 收纳盒, 数据丢失, 桥下仓库",,"price, material",2,95,L3,高可用待确认,"价格缺失 | SKU命名不一致(2种): 一号收纳盒, 尿布台收纳盒 | 商品状态未知",2026-01-30 16:05:22.157
YH31K02,一号喂养柜,成品类 - YH31配件类,浙江英禾,未知,1,,,,,0,组合1;茉莉白,茉莉白,,,,,,,工厂仓库,,"main_image, price, material, weight",4,75,L2,部分可用待补全,主图缺失 | 价格缺失 | 商品状态未知 | 所有SKU图片缺失,2026-05-18 14:01:06.370
YH31K03B0S25,收纳架配件-防尘盖,半成品类 - 收纳盒类,,未知,1,https://images-erp.sursung.com/prod/erp/ItemSku/11871454/20240320/51D1136461E74C6CB5EC79B1F7EC41A5.jpg?name=O1CN01UlTusd1I3OQkZMbRu_!!2200785690837.jpg,1.35,1.35,,,默认,,,,,,,,小件产品,,"stock, material, weight, color",4,80,L2,高可用待确认,库存缺失 | 商品状态未知,2026-04-18 13:16:53.040
YH31K05,鲸鱼防倒器,成品类 - YH31配件类,浙江英禾,未知,1,,8,8,,0,组合1;暮云灰,暮云灰,0.1,,,,,浙江佳诚婴童用品有限公司,"小件产品, 桥下仓库",,"main_image, material",2,90,L3,高可用待确认,主图缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-07 11:15:30.123
YH31K06,防尘盖,成品类 - YH31配件类,英禾,未知,6,,11.7,25.3,,120,组合2;透明色,透明色,,,,,,,,,"main_image, material, weight",3,85,L3,高可用待确认,主图缺失 | 商品状态未知 | 所有SKU图片缺失,2025-02-25 16:20:29.800
YH31K07,二号小熊防倒贴,成品类 - YH31收纳盒,浙江英禾,未知,6,https://images-erp.sursung.com/prod/erp/ItemSku/11871454/20260506/3CFC2A00A3B24301B1EAFC7DBD01171F.png?name=01f3e7f7-988a-410d-89bc-929465ed4bbc,,,,,组合1;琥珀棕,琥珀棕,,,,,,,"小件产品, 收纳盒",,"price, stock, material, weight",4,75,L2,部分可用待补全,价格缺失 | 库存缺失 | 商品状态未知,2026-05-06 09:58:16.653
YH31K08,二号小兔防倒贴,成品类 - YH31收纳盒,浙江英禾,未知,3,https://images-erp.sursung.com/prod/erp/ItemSku/11871454/20260506/82880FD0BA564996BBE69C3E28FE4965.png?name=6815d588-a05b-4431-aba4-80ee71a9e4a9,,,,,组合1;茉莉白,茉莉白,,,,,,,"小件产品, 收纳盒",,"price, stock, material, weight",4,75,L2,部分可用待补全,价格缺失 | 库存缺失 | 商品状态未知,2026-05-06 10:17:14.857
YH31k04,小熊防倒器,产品配件类 - 防倒类,,未知,3,,2.8,6.8,,,组合1，茉莉白,,"0.18, 0.15, 0.22",,,,,,小件产品,,"main_image, stock, material, color",4,75,L2,部分可用待补全,主图缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2025-11-20 11:02:10.677
YH32K01,1号坐便器,成品类 - YH32坐便器类,,未知,2,https://images-erp.sursung.com/erp/prod/11871454/16954350485185?name=cf9038c5-b8b2-47de-bbdd-32518864d485,50.7,50.7,,3,组合1;丹霞橙,"丹霞橙, 暮云灰","1.815, 1.815","30.5, 30.5","26, 26","36, 36",,台州完美宝贝婴童用品有限公司,"台州仓库, 小件产品",,material,1,100,L3,高可用待确认,商品状态未知,2026-02-11 09:22:32.540
YH32K02,2号小恐龙三合一坐便器,成品类 - YH32坐便器类,,未知,1,https://images-erp.sursung.com/prod/erp/ItemSku/11871454/20250217/16BEDA96D5C24890A594EAFF4B3C914A.png?name=ab3e60cd-961a-44c2-9bc7-21e8f53a313b,54,54,,,组合1;琥珀黄,琥珀黄,2.33,1.92,39.5,32.5,,浙江佳诚婴童用品有限公司,台州仓库,,"stock, material",2,95,L3,高可用待确认,库存缺失 | 商品状态未知,2026-02-04 18:05:01.497
YH32K03,3号胖胖龙三合一坐便器,成品类 - YH32坐便器类,英禾,未知,1,https://images-erp.sursung.com/prod/erp/ItemSku/11871454/20250426/23FD04D876964958B1215C212FC8B757.png?name=a8d85295-524f-4c41-a49a-98bb5ec89f10,48,48,,0,组合3;暮云灰,暮云灰,,,,,,浙江贝莱氏婴童用品股份有限公司,"台州仓库, 未上架",,"material, weight",2,95,L3,高可用待确认,商品状态未知,2026-02-04 18:05:01.497
YH33K02,1号儿童衣架,成品类 - YH33衣架类,,未知,20,https://images-erp.sursung.com/prod/erp/ItemSku/11871454/20240514/8932F5B015B143C7A34C44E9214E797E.jpg?name=SKU1.jpg,2.3,23,,708,组合一 暮云灰,,"0.11, 0.11, 0.11, 0.18, 0.18, 0.18, 0.18, 0.34, 0.34, 0.34, 0.34, 0.5, 0.5, 0.5, 0.5, 0.81, 0.81, 0.81, 0.81","30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30","34.5, 34.5, 34.5, 34.5, 34.5, 34.5, 34.5, 34.5, 34.5, 34.5, 34.5, 34.5, 34.5, 34.5, 34.5, 34.5, 34.5, 34.5, 34.5",,,,台州仓库,,"material, color",2,100,L3,高可用待确认,商品状态未知,2025-11-21 10:01:30.060
YH33K03,2号云朵衣架,成品类 - YH33衣架类,,未知,5,https://images-erp.sursung.com/prod/erp/ItemSku/11871454/20240702/15669308B93C4DA58595D25A3B84BE73.png?name=628e8775-4644-4e2c-ac2d-05d1d189a361.png,9.3726,9.3726,,,组合1；千禧粉,,"0.42, 0.42, 0.42, 0.42, 0.42","30, 30, 30, 30, 30","34.5, 34.5, 34.5, 34.5, 34.5",,,浙江佳诚婴童用品有限公司,"供应链已导入, 台州仓库",,"stock, material, color",3,90,L3,高可用待确认,库存缺失 | 商品状态未知,2026-02-04 18:06:22.280
YH33K04,3号儿童衣架,成品类 - YH33衣架类,英禾,未知,2,,,,,0,组合2;玉莲白,玉莲白,,,,,,,"小件产品, 数据丢失",,"main_image, price, material, weight",4,75,L2,部分可用待补全,主图缺失 | 价格缺失 | 商品状态未知 | 所有SKU图片缺失,2026-01-30 16:10:21.173
YH33K04B03S04,衣架,成品类 - YH33衣架类,,未知,1,,,,,0,组合3；千禧粉,,,,,,,,"小件产品, 数据丢失",,"main_image, price, material, weight, color",5,70,L2,部分可用待补全,主图缺失 | 价格缺失 | 商品状态未知 | 所有SKU图片缺失,2026-02-11 09:24:15.110
YH33K04B03S24,衣架,成品类 - YH33衣架类,,未知,1,,,,,,组合3；轩雅紫,,,,,,,,"小件产品, 数据丢失",,"main_image, price, stock, material, weight, color",6,60,L2,部分可用待补全,主图缺失 | 价格缺失 | 库存缺失 | 商品状态未知 | 所有SKU图片缺失,2026-02-11 09:23:49.720
YH33K05,2号太阳花衣架,成品类 - YH33衣架类,英禾,未知,3,https://images-erp.sursung.com/prod/erp/ItemSku/11871454/20250703/BAB73541161B418598180F856AD735D6.png?name=ef8f80c3-d059-416e-888c-df4ded76dab0,8.734,8.734,,133,组合1;琥珀黄,"千禧粉, 琥珀黄, 雀羽蓝","0.42, 0.42, 0.42","30, 30, 30","34.5, 34.5, 34.5",,,浙江佳诚婴童用品有限公司,"台州仓库, 小件产品",,material,1,100,L3,高可用待确认,商品状态未知,2026-02-04 18:06:55.380
YH33K06,六号折叠衣架,成品类 - YH33衣架类,浙江英禾,未知,2,https://img.alicdn.com/bao/uploaded/i4/2200785690837/O1CN01rTGEiS1I3OWwJCFxI_!!2200785690837.png,5.41,5.41,,,琥珀黄；组合1,,"0.11, 0.11",,,,,浙江佳诚婴童用品有限公司,"台州仓库, 小件产品",,"stock, material, color",3,85,L3,高可用待确认,库存缺失 | 商品状态未知,2026-05-18 16:32:38.787
YH34K01,小熊防撞帽,成品类 - YH34头盔类,,未知,1,https://images-erp.sursung.com/prod/erp/ItemSku/11871454/20240611/735392D6B6FE4D5885104FAE67E31C15.jpg?name=1月归档.jpg,35.3,35.3,,265,组合1;丁香棕,丁香棕,0.23,18.5,16.5,14.5,,浙江佳诚婴童用品有限公司,台州仓库,,material,1,100,L3,高可用待确认,商品状态未知,2026-02-04 18:08:54.857
YH34K02,兔子防撞帽,成品类 - YH34头盔类,,未知,1,https://images-erp.sursung.com/prod/erp/ItemSku/11871454/20240611/2D75F85865F74CD4A0971F307E36C25B.jpg?name=1月归档 (1).jpg,35.3,35.3,,,组合1;丁香棕,丁香棕,0.23,18.5,16.5,14.5,,浙江佳诚婴童用品有限公司,台州仓库,,"stock, material",2,95,L3,高可用待确认,库存缺失 | 商品状态未知,2026-02-04 18:08:54.857
YH35K01,防撞角,成品类 - YH35防撞类,,未知,2,https://images-erp.sursung.com/prod/erp/ItemSku/11871454/20240610/21FC1AC45E794DDDB3A9595C9E3AEB92.png?name=91cd22e0-7b33-4498-bb89-52c5542b03e1.png,5.6,5.6,,0,组合1;茉莉白,"玉莲白, 茉莉白","0.06, 0.06","24, 24","17, 17",,,浙江佳诚婴童用品有限公司,台州仓库,,material,1,100,L3,高可用待确认,商品状态未知,2026-02-04 18:08:54.857
YH35K02,防撞条,成品类 - YH35防撞类,,未知,2,https://images-erp.sursung.com/prod/erp/ItemSku/11871454/20240711/66AABDD319874D03A7914696CC8307AF.jpg?name=999917c5-c024-42ef-9d87-e522be71aa6f.jpg,3.6,3.699,,0,组合5;玉莲白,"玉莲白, 茉莉白","0.11, 0.11","25, 25","24, 24",,,浙江佳诚婴童用品有限公司,台州仓库,,material,1,100,L3,高可用待确认,商品状态未知,2026-02-04 18:08:54.857
YH35K03,2号狮子王防撞条,成品类 - YH35防撞类,英禾,未知,1,https://images-erp.sursung.com/prod/erp/ItemSku/11871454/20250509/329BB0F455CA4581968212077924A486.png?name=432a13de-9cf7-4125-8d60-4ee197ead726,6.3,6.3,,,组合1;茉莉白,茉莉白,0.18,,,,,浙江佳诚婴童用品有限公司,"台州仓库, 小件产品",,"stock, material",2,90,L3,高可用待确认,库存缺失 | 商品状态未知,2026-02-04 18:08:54.857
YH35K04,3号小熊万能防撞条,成品类 - YH35防撞类,英禾,未知,1,https://images-erp.sursung.com/prod/erp/ItemSku/11871454/20250511/63285566A3B24470ACAFC678C5F8E492.png?name=0fd63941-1a70-4896-8ea0-7df0104c93db,6.9,6.9,,,组合1;茉莉白,茉莉白,0.19,18.5,16.5,14.5,,浙江佳诚婴童用品有限公司,"台州仓库, 小件产品",,"stock, material",2,95,L3,高可用待确认,库存缺失 | 商品状态未知,2026-02-04 18:08:54.857
YH35K05,3号数字万能防撞条,成品类 - YH35防撞类,英禾,未知,1,https://images-erp.sursung.com/prod/erp/ItemSku/11871454/20250511/A578A1663CE04A2C9FE238398E975150.png?name=f754108f-434a-49f9-b19b-36e16c07c0a2,8.4,8.4,,0,组合1;茉莉白,茉莉白,0.19,,,,,浙江佳诚婴童用品有限公司,"台州仓库, 小件产品, 电商下架",,material,1,100,L3,高可用待确认,商品状态未知,2026-02-04 18:08:54.857
YH35K06,4号空气护垫防撞条,成品类 - YH35防撞类,英禾,未知,1,https://images-erp.sursung.com/prod/erp/ItemSku/11871454/20250514/4EA939DD55FE47039B60887E197B1692.png?name=8b804535-bd9c-43b1-8dca-0c4fea430304,7.9,7.9,,,组合1;透明色,透明色,0.25,,,,,浙江佳诚婴童用品有限公司,"台州仓库, 小件产品, 电商下架",,"stock, material",2,90,L3,高可用待确认,库存缺失 | 商品状态未知,2026-02-04 18:08:54.857
YH35K07,3号水立方空气护垫防撞角,成品类 - YH35防撞类,英禾,未知,4,https://images-erp.sursung.com/prod/erp/ItemSku/11871454/20250511/B59D3B28235849A4B88AF0FEF5452A8A.png?name=6240daa0-eaec-49b0-8467-9166fdcaa659,5.7,12.1,,0,组合1;茉莉白,"暮云灰, 茉莉白, 茉莉白；15cm, 透明色","0.47, 0.37, 0.47, 0.19",,,,,"台州市凯飞婴童用品有限公司, 浙江佳诚婴童用品有限公司","台州仓库, 小件产品, 自动拆",,material,1,100,L3,高可用待确认,"SKU命名不一致(2种): 五号加宽防撞条, 三号水立方空气护垫防撞角 | 商品状态未知",2026-02-04 18:08:54.857
YH35K08,4号窄边防撞角,成品类 - YH35防撞类,英禾,未知,2,https://images-erp.sursung.com/prod/erp/ItemSku/11871454/20250511/4CA610855E96475DA7AFCEE9DC98DF1A.png?name=1a9fd9b2-5cd7-4743-82a4-06b231614be9,5.7,9.5,,0,组合1;透明色,"茉莉白, 透明色","0.1, 0.14",200,7.5,1,,浙江佳诚婴童用品有限公司,"台州仓库, 小件产品",,material,1,100,L3,高可用待确认,"SKU命名不一致(2种): 四号窄边防撞角, 六号曲奇防撞条 | 商品状态未知",2026-02-04 18:08:54.857
YH35K09,2号狮子王防撞角,成品类 - YH35防撞类,英禾,未知,1,https://images-erp.sursung.com/prod/erp/ItemSku/11871454/20250509/CCDF09C76A77488BB6BC991C7EBF2BE3.png?name=6b584800-bced-4ff2-9b5e-b9761aa4d133,3.5,3.5,,0,组合1;茉莉白,茉莉白,0.08,,,,,浙江佳诚婴童用品有限公司,"台州仓库, 小件产品",,material,1,100,L3,高可用待确认,商品状态未知,2026-02-04 18:08:54.857
YH36K01,狮子浴帽,成品类 - YH36浴帽类,,未知,2,https://img.alicdn.com/bao/uploaded/i2/2200785690837/O1CN01VwUIhm1I3OV7Wo1rs_!!2-item_pic.png,4.7,4.7,,,组合1;琥珀棕,"暮云灰, 琥珀棕","0.07, 0.07",,,,,浙江佳诚婴童用品有限公司,"台州仓库, 小件产品",,"stock, material",2,90,L3,高可用待确认,库存缺失 | 商品状态未知,2026-02-04 18:09:35.917
YH37K01,阿波罗洗澡架,成品类 - YH37洗澡架类,,未知,2,https://img.alicdn.com/bao/uploaded/i1/2117148218/O1CN01NrjlDo2AZts4NwuPC_!!2-item_pic.png,117.7,117.7,,0,组合1;暮云灰,"暮云灰, 茉莉白","3.5, 3.5","42.5, 42.5","11, 11","51, 51",,金华吉佧婴童用品有限公司,"批发下架, 桥下仓库",,material,1,100,L3,高可用待确认,商品状态未知,2025-11-05 10:41:56.427
YH38K01B01S26,1号云台餐椅,成品类 - YH38餐桌椅,浙江英禾,未知,1,https://img.alicdn.com/bao/uploaded/i1/2200785690837/O1CN019SXwc21I3OWfZHEuU_!!4611686018427379925-2-item_pic.png,210.02,210.02,,0,茉莉白；组合1,,,60.5,51.5,81.6,,金华吉佧婴童用品有限公司,"台州仓库, 批发下架, 电商下架",,"material, weight, color",3,95,L3,高可用待确认,商品状态未知,2025-11-05 10:41:56.427
YH38K02,二号雅典娜餐椅,成品类 - YH38餐桌椅,,未知,10,https://images-erp.sursung.com/prod/erp/ItemSku/11871454/20260512/52370C56A32B4424A01B227BA28E9115.png?name=895fbfce-cc60-4ff0-a9bb-2c790c5b6bca,,,,0,组合1;千禾绿,"千禾绿, 暮云灰",,,,,,,,,"price, material, weight",3,85,L3,高可用待确认,价格缺失 | 商品状态未知,2026-05-12 15:13:42.800
YH38K03,三号叫叫餐桌椅,成品类 - YH38餐桌椅,,未知,4,https://images-erp.sursung.com/prod/erp/ItemSku/11871454/20250725/FBB78AFE0A9446D1A2DA817B28BF46DA.png?name=320a359f-6bfc-42f7-87b3-1e7cb3f23bf0,75.25,84.25,,0,组合1;茉莉白,茉莉白,"3.08, 3.08, 3.08, 3.08","40.5, 40.5, 40.5, 40.5","40, 40, 40, 40","30, 30, 30, 30",,台州市黄岩贝易婴童用品股份有限公司,台州仓库,,material,1,100,L3,高可用待确认,商品状态未知,2025-11-07 11:15:30.123
YH39K01,YH39K01B02S17,成品类 - YH39奶瓶刷类,,未知,5,https://img.alicdn.com/bao/uploaded/i3/2200785690837/O1CN01jAPiHE1I3OWihS52o_!!4611686018427379925-2-item_pic.png,24,40,,,组合1；丁香棕,,"0.41, 0.46, 0.51, 0.59, 0.61","20, 20, 20, 20, 20","14, 14, 14, 14, 14","16, 16, 16, 16, 16",,广东邦民健康科技有限公司,电商下架,,"stock, material, color",3,90,L3,高可用待确认,库存缺失 | 商品状态未知,2025-11-20 13:55:37.490
YH39K02,2号魔方便携式奶瓶刷,成品类 - YH39奶瓶刷类,英禾,未知,1,https://images-erp.sursung.com/prod/erp/ItemSku/11871454/20250320/35068850CFD3467B85A2BB62A8D58A0D.png?name=082d2618-5581-46e1-8151-a7cc3275e9de,14.75,14.75,,,组合1；丁香棕,,0.44,20,14,16,,广东皇星婴童用品有限公司,台州仓库,,"stock, material, color",3,90,L3,高可用待确认,库存缺失 | 商品状态未知,2026-02-04 18:11:14.700
YH39K03,3号伸缩奶瓶刷,成品类 - YH39奶瓶刷类,浙江英禾,未知,1,https://images-erp.sursung.com/prod/erp/ItemSku/11871454/20250320/66FA0466AADC4AFDB7A615206B4871A9.png?name=7fd27261-7a36-4ce9-843f-227abc017e05,10.17,10.17,,,"丁香棕,组合1",,0.28,18,34,27.5,,广东邦民健康科技有限公司,"台州仓库, 小件产品",,"stock, material, color",3,90,L3,高可用待确认,库存缺失 | 商品状态未知,2025-11-13 15:49:21.940
YH39K04,4号趴趴熊奶瓶刷,成品类 - YH39奶瓶刷类,英禾,未知,1,https://images-erp.sursung.com/prod/erp/ItemSku/11871454/20250320/57D825A436C44772B3F6A4D9981B59EF.png?name=acc2da32-b55d-4664-b9c4-4023ba90ad07,13.2,13.2,,,丁香棕；组合1,,0.48,,,,,浙江佳诚婴童用品有限公司,台州仓库,,"stock, material, color",3,85,L3,高可用待确认,库存缺失 | 商品状态未知,2025-11-05 10:41:56.427
YH39K05,五号便携奶瓶刷,成品类 - YH39奶瓶刷类,英禾,未知,2,https://images-erp.sursung.com/prod/erp/ItemSku/11871454/20260126/C7B9F03796B047BEBF16ADE2D7AE6B74.png?name=886d2051-904b-413a-8856-b2e252a6f50f,23.6,23.6,,229,组合1;丁香棕,"丁香棕, 千禾绿",,"13.5, 13.5","5.2, 5.2","18, 18",,广东邦民健康科技有限公司,桥下仓库,,"material, weight",2,100,L3,高可用待确认,商品状态未知,2026-01-26 10:24:49.363
YH40K01,1号吸盘洗头刷,成品类 - YH40洗头刷,英禾,未知,2,https://images-erp.sursung.com/prod/erp/ItemSku/11871454/20250310/ED683E5608D44B78A620E2ACBA29FF42.png?name=40dced19-08aa-4676-b4fe-6352ea0666af,1,3.2,,,组合1;杏仁黄,杏仁黄,"0.07, 0.12",,,,,浙江佳诚婴童用品有限公司,台州仓库,,"stock, material",2,90,L3,高可用待确认,库存缺失 | 商品状态未知,2026-02-04 18:11:14.700
YH40K02,2号抱抱熊洗头刷,成品类 - YH40洗头刷,,未知,3,https://img.alicdn.com/bao/uploaded/i1/2200785690837/O1CN011rdaZf1I3OXVbra7t_!!4611686018427379925-2-item_pic.png,7.3,7.3,,,组合8，丁香棕,,0.08,,,,,浙江佳诚婴童用品有限公司,"台州仓库, 小件产品, 数据丢失",,"stock, material, color",3,85,L3,高可用待确认,"库存缺失 | SKU命名不一致(2种): 2号抱抱熊洗头刷, 二号抱抱熊洗头刷 | 商品状态未知",2026-02-04 18:11:14.700
YH42K01,1号仙人掌沥水架,成品类 - YH42沥水架,,未知,1,https://img.alicdn.com/bao/uploaded/i2/2200785690837/O1CN01pfMWpR1I3OX56fCLH_!!4611686018427379925-2-item_pic.png,8.52,8.52,,,组合1，丁香棕,,0.46,33,30,19,,浙江佳诚婴童用品有限公司,台州仓库,,"stock, material, color",3,90,L3,高可用待确认,库存缺失 | 商品状态未知,2026-02-04 18:11:38.620
YH42K02,二号洞洞板沥水架,成品类 - YH42沥水架,英禾,未知,4,https://images-erp.sursung.com/prod/erp/ItemSku/11871454/20251217/27AB3E7CCC934B4BAC7025BE3419C114.png?name=1310628b-e481-43f5-8412-40e28fb3ca9e,24.4,25.6,,116,组合1;暮云灰,"千禾绿, 暮云灰","0.85, 0.85, 0.85, 0.85","28, 28, 28, 28","8, 8, 8, 8","36, 36, 36, 36",,广东邦民健康科技有限公司,桥下仓库,,material,1,100,L3,高可用待确认,商品状态未知,2025-12-17 15:49:02.600
YH42K03,二号洞洞板沥水架,成品类 - YH42沥水架,,未知,2,https://images-erp.sursung.com/prod/erp/ItemSku/11871454/20260506/F91D0AFACF4D496C9F4F801F721D5493.png?name=洞洞板沥水架-组合三- 琥珀黄.png,19.59,20.55,,,组合3;琥珀黄,琥珀黄,,,,,,广东邦民健康科技有限公司,"小件产品, 电商仓库",,"stock, material, weight",3,85,L3,高可用待确认,库存缺失 | 商品状态未知,2026-05-06 09:33:57.600
YH44K01,1号兔子裤夹,成品类 - YH44裤夹,,未知,1,https://img.alicdn.com/bao/uploaded/i2/2200785690837/O1CN01gPL1vN1I3OTlXNef0_!!2-item_pic.png,6.32,6.32,,,琥珀黄；组合1,,0.3,,,,,浙江佳诚婴童用品有限公司,"台州仓库, 小件产品",,"stock, material, color",3,85,L3,高可用待确认,库存缺失 | 商品状态未知,2026-02-04 18:12:04.490
YH45K01,一号落地折叠衣架,成品类 - YH45折叠衣架,英禾,未知,7,https://images-erp.sursung.com/prod/erp/ItemSku/11871454/20260418/16254A5358BB441493C8511680012F13.png?name=f20813b9-b92c-4e8e-8c4f-a331f37d9748,16.5,52.5,,41,组合1;茉莉白,"暮云灰, 秋杏棕, 茉莉白","1.8, 1.8, 1.8, 2.35, 2.35, 2.35","49.5, 49.5, 49.5, 49.5, 49.5, 49.5","15, 15, 15, 15, 15, 15","23.5, 23.5, 23.5, 27.5, 27.5, 27.5",,浙江贝莱氏婴童用品股份有限公司,"台州仓库, 大件产品, 未上架",,material,1,100,L3,高可用待确认,商品状态未知,2026-05-18 16:25:31.680
YH46K01,1号海鸥花洒,成品类 - YH46花洒,英禾,未知,2,https://images-erp.sursung.com/prod/erp/ItemSku/11871454/20250611/301DDD922BF543D3A6F6D40ED5E725F5.png?name=ace51654-3d6d-468d-b4dc-5a8bcf3c17d2,1.2,1.2,,0,组合1;丁香棕,"丁香棕, 茉莉白","0.06, 0.06",,,,,,"小件产品, 桥下仓库, 赠品",,material,1,100,L3,高可用待确认,商品状态未知,2025-11-25 16:32:11.930
YH46K02B01S11,2号狮子王花洒杯,成品类 - YH46花洒,英禾,未知,1,https://img.pddpic.com/mms-material-img/2025-01-24/d4459f8e-efba-4e98-9673-c1bdbc7f6f92.png.a.jpeg,9.8,9.8,,0,组合1；琥珀黄,,0.17,20,14,16,,浙江佳诚婴童用品有限公司,电商下架,,"material, color",2,100,L3,高可用待确认,商品状态未知,2025-11-05 10:41:56.427
YH46K02B01S23,2号狮子王花洒杯,成品类 - YH46花洒,英禾,未知,1,https://img.pddpic.com/mms-material-img/2025-01-24/d4459f8e-efba-4e98-9673-c1bdbc7f6f92.png.a.jpeg,9.8,9.8,,0,组合1；千禾绿,,0.17,20,14,16,,浙江佳诚婴童用品有限公司,电商下架,,"material, color",2,100,L3,高可用待确认,商品状态未知,2025-11-05 10:41:56.427
